label,review
Positive,"it is a pretty nice game, very good boss fights, excellent CGs with outstanding art. I'll give a 8.5 out of 10. We need bugs repairing and game playing optimization in future updates."
Positive,"Honestly I kept my expectations low because it seemed too good to be true especially being the first game from the studio but god damn they nailed it. The combat I would say is more akin to something like God of War rather than a soulslike. It feels great to play, very responsive, a lot of different ways to play. The graphics are fantastic and the game runs well, have not had any crashes so far."
Positive,"Beat the first boss which is the one in the trailer, the white wolf.And I have to say, so far really enjoying the game.It's basically a Chinese God of War (2018) and the Jedi Fallen series, and like those games it has some soulsborne influences, but doesn't lean too heavily into it. If you enjoyed God of War (2018) and the Jedi Fallen Order/Survivor, then you will definitely enjoy this, personally find this to be a bit more fun."
Positive,"Remember when a game was just a game? Apparently these devs do. This game is a single, complete, no nonsense game. No DLC bundles. No microtransactions, no battle passes, no live services, and no BS. Just a single game with a solid amount of content, (mostly) fair difficulty challenges, a good amount of secrets to unlock, a serviceable story, and fun gameplay. It certainly helps that Journey to the West is one of my favorite stories. Blame Dragonball Z for getting me into it. I only wish more games were like this."
Positive,"Just finished the game with all achievements and I think no words can do justice to how amazing the whole experience was. The only downside in my opinion is how many invisible walls are present around the world, but other than that; an amazing combat system, huge variety of transformations and incredible graphics. Solid game everyone should try at some point."
Positive,"So far I love everything about this game. From the story, visuals, gameplay... it's a beautiful game about chinese mythology and a rare gem of 2024. The world and visuals are stunning, although exploration is linear I want to see everything this game has to offer. This is also the first game where I chose not to play in default english, as it sounds so much better in original voice (chinese) and it makes for a more unique experience.Combat is souls inspired, but difficulty is very forgiving. There is no block/parry button, you only have to dodge attacks at the right time. Also at dying you won't loose anything, but enemies will respawn on dying and resting. This game is not hard as souls-like so noob casuals like me can give this a try. However it can still be challenging and some bosses will make you die over and over again. You can't rush in and mash buttons expecting not to die in a few hits. With that said you may have to adapt your skill points, thankfully respec doesn't cost anything so you have all the freedom to try out different abilities/playstyle.To summarize, it's an amazing singleplayer game with all the right components- interesting story, great gameplay, amazing visuals and sound effects. Optimization is very good. I can play it on my old pc (i5-7500 and GTX 1060) with a bit of tweaking. Great purchase, fantastic game! 10/10"
Positive,"(Review in progress, 8h so far, 2 chapters completed)This game surprised me more than I expected. The level of polish and care put into it is quite impressive and I absolutely loved my time with it so far. Graphics and art-design are top notch, sound design is great, music has its highs and lows, but what it doesn't lack is identity, it's pretty original. If you're familiar with the original story or Chinese mythology, you'll probably love the interpretations of characters from there, if you have no idea what is it about, prepare yourself for a wild ride, it can get quite weird, but equally amazing. Now, the main thing - gameplay. Overall I can say that it's pretty fun and I had a good time with it, especially thanks to the very decent enemy variety and non-stop bosses with their own quirks, but the only gripe that I personally have with the game - is the lack of combos, or just overall depth of core staff combat. Don't get me wrong, it's not bad, however it seems like the combat's variety is leaning more towards a couple of special abilities and you waiting for them to be available again, while with the staff itself you have only one light attack combo and with that only 3 variations of heavy attacks, plus you can't cancel out of many of your animations, which is annoying in a game like this. Also most of your character progression is tied to stats improvements. I guess after playing many games like DMC series, Bayonettas, even something like recent GOW, Darksiders etc, I got spoiled with even more responsive and flexible combat systems, but other than that, I'm more than satisfied with everything else.Can I recommend it? Heck yeah! We need more single-player games like this one.Who is it for? I'd say it's a mix of a Souls-like meets GOW, but it has its own unique ideas as well.Final score (as of now) - 8.5/10 If the game manages to surprise me with something else, I'll be glad to raise the score to at least 9/10, but I'm a bit picky about some gameplay details. Still impressed though.UPD after 30 hours and almost finishing the game - I'll leave the score at 8.5 and my main points still stand. This game is impressive and it's one of the best and most solid 8/8.5 out of 10 sorta games you'll ever play, but some parts of the game outstay their welcome and combat doesn't evolve much (some people have a different opinion on this, and that's fine by me). Other than that, I loved it."
Positive,"After beating the game twice and seeing both endings, I can finally give it my personal assessment. This review contains spoilers and a considerable amount of bias, so take it with a grain of salt.It's an easy 9, or even 10, for me. With a triple-A budget pair with UE5, the graphical fidelity is impressive. While some have pointed out that stock assets are used to paint the environment, I honestly don't mind that much as long as they blend in well. Chapters 1 to 3 probably have the most distinguished biomes and stunning architecture. IIRC, the team 3D mapped a bunch of historical buildings and reconstructed them in-game. This approach is a breath of fresh air after playing Western AAA games for so many years. The animated mini-series from each chapter is also surprisingly well-made and unexpected; it gives the game a such unique character in terms of art direction.For those who have never read the classic Journey to the West, the plot might seem puzzling and confusing. I don't blame you; the narrative is scattered all over the place, and each chapter could be its own standalone story. For those who actually read the classic novel, the plot is just as baffling as everyone else. In fact, the world setting is only partially based on the original work. Black Myth's team has taken creative liberties to reinterpret Journey to the West based on another modern novel named ""Wu Kong"" and their previous Journey to the West MMO. The tone is much darker, the writing is edgier, and the underlying message is up to you to interpret. I only hope they can come up with a more coherent plot that stitches all the chapters together.For this section, I might need to break it into two parts: the Monkey itself and the rest of the mobs. The destined one has a very limited move set. Some weapons have their own variants added to the basic attack, but that's about all you get. The combat mechanic is relatively shallow and gets repetitive fast. There are some builds that synergize certain spirits with your gears, but the variety is still lackluster. On the contrary, I much prefer the enemy diversity. Although some re-skins exist, most still have their own move set and animation. There are a total of 55 mini-bosses and 26 bosses, which brings the total to 81. This odd number may not be apparent to some, but in the JttW novel, this is the exact number of tribulations they must endure to retrieve the scriptures. Interestingly, 81 is also the number of achievements on the PC end. I'm absolutely fond of the last fight with WuKong, with Erlang coming in a close second. Everyone and their mother has watched the 86 JttW TV series in China, and the amount of love and homage they put into the final battle is off the charts. This battle alone carries the entire Chapter 6, considering how bland the level design is otherwise. I couldn't think of a better boss fight in recent years. Yes, as I said before, I'm incredibly biased on this; the nostalgia hits differently.In its current state, I give it an 8.5. It is an excellent entry as their first AAA title. Although it has its flaws, a good game doesn't necessarily excel in every single aspect. The storytelling could be better because it doesn't complement how great the art direction is. At the same time, if they intend to create a semi-boss rush ARPG, I hope they can iron out the invisible walls in both level design and during combat, along with more in-depth combat mechanics to ensure both elements complement each other."
Positive,"IF YOU ARE HAVING ISSUES WITH LOADING SHADERS/CRASHING/STUTTERING!Open Launch Options in your library and put -dx12  and launch using the games Compatibility Mode. This is what allowed me to compile the shaders and actually play the game! I'm running on a RTX 3070 8GB VRAM, WD BLACK SSD and 32GB RAM. Hope this helps! #Monke"
Positive,"Visually stunning. Despite saying better on a controller, I actually like the gameplay on my mouse and keyboard. I'm not usually into this type of genre often but I am very much enjoying the story and especially the visuals. PURE EYE CANDY. Running on a 4080 Super @ 3440x1440 I'm getting a steady 60-80 fps with graphics set to 'cinematic', the highest it goes with RT set to High. No crashing or issues seen yet detected and game is running smoooth as butter."
